rollout/ep_rew_mean,time/iterations,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,time/fps,train/n_updates,train/value_loss,train/explained_variance,train/loss,train/clip_fraction,train/entropy_loss,train/policy_gradient_loss,train/learning_rate,train/approx_kl,train/clip_range
167.9,125,84.85,213,128000,600,1240,1165.551717376709,0.38840264081954956,650.9432373046875,0.00380859375,-0.06995195799972861,-0.0006026093906257302,0.0003,0.0002692171,0.2
170.31,126,85.28,214,129024,601,1250,1006.9355293273926,0.30946439504623413,553.3751220703125,0.017578125,-0.07796899175737053,-0.0024871750094462184,0.0003,0.0016189973,0.2
169.12,127,85.08,216,130048,601,1260,892.775036239624,0.3252562880516052,359.4108581542969,0.0087890625,-0.06962750132661313,-0.000907674035988748,0.0003,0.0010057823,0.2
173.46,128,86.45,217,131072,601,1270,1201.763552093506,0.43082213401794434,519.7322998046875,0.00185546875,-0.06764721506042407,0.0001077636145055294,0.0003,0.00048223356,0.2
174.34,129,86.34,219,132096,601,1280,1350.6644397735595,0.3185499310493469,741.6310424804688,0.00419921875,-0.06773423514096066,-4.884734516963363e-05,0.0003,2.026488e-05,0.2
173.37,130,86.36,221,133120,602,1290,1166.2987926483154,0.2986360192298889,506.7262268066406,0.01015625,-0.07427192105678841,-0.0007175499864388257,0.0003,0.0008177599,0.2
177.29,131,87.31,222,134144,602,1300,1159.4776493072509,0.4120771288871765,534.0354614257812,0.01787109375,-0.07514928776072338,-0.0020627346239052713,0.0003,0.00031035198,0.2
185.09,132,89.17,224,135168,602,1310,1216.3745670318604,0.36378586292266846,550.2171630859375,0.00615234375,-0.07453439411474391,-0.0004012344928923994,0.0003,0.00032803975,0.2
184.8,133,88.88,225,136192,603,1320,1261.6068897247314,0.3516249656677246,489.3731994628906,0.0052734375,-0.06810796180507168,-0.0003587562416214496,0.0003,0.00040685138,0.2
190.32,134,90.44,227,137216,603,1330,1039.289884185791,0.4194929003715515,579.4005126953125,0.00888671875,-0.07121667643077671,-0.001056890602922067,0.0003,0.00090863346,0.2
187.86,135,89.96,228,138240,603,1340,1031.6625583648681,0.43357914686203003,447.1045837402344,0.016015625,-0.06650439434451982,-0.002446994063211605,0.0003,0.0008863434,0.2
